Week,vaccine availability,covid,covid testing near me,fever,cough,loss of taste and smell,face masks,vaccine appointment
2022-08-07,4.0,16,3,37.0,39.0,12.0,2.0,2
2022-08-14,4.0,15,3,35.0,39.0,11.0,2.0,2
2022-08-21,5.0,15,2,35.0,44.0,11.0,2.0,1
2022-08-28,13.0,14,2,35.0,44.0,10.0,2.0,2
2022-09-04,20.0,13,2,34.0,46.0,10.0,2.0,4
2022-09-11,9.0,13,1,33.0,47.0,9.0,1.0,4
2022-09-18,7.0,12,1,34.0,47.0,9.0,2.0,4
2022-09-25,5.0,10,1,32.0,51.0,8.0,2.0,4
2022-10-02,4.0,10,1,35.0,57.0,8.0,2.0,4
2022-10-09,3.0,10,1,35.0,57.0,11.0,2.0,4
2022-10-16,2.0,10,1,37.0,59.0,10.0,2.0,4
2022-10-23,2.0,10,1,41.0,65.0,9.0,2.0,5
2022-10-30,3.0,9,1,46.0,68.0,12.0,2.0,3
2022-11-06,2.0,8,1,44.0,71.0,11.0,1.0,3
2022-11-13,2.0,8,1,46.0,77.0,9.0,2.0,3
2022-11-20,2.0,9,1,53.0,85.0,12.0,2.0,2
2022-11-27,2.0,10,1,50.0,84.0,13.0,2.0,2
2022-12-04,1.0,10,1,52.0,75.0,13.0,2.0,2
2022-12-11,1.0,12,1,52.0,80.0,13.0,2.0,2
2022-12-18,0.0,12,1,51.0,79.0,15.0,2.0,1
2022-12-25,1.0,12,1,47.0,82.0,16.0,2.0,1
2023-01-01,0.0,10,1,37.0,65.0,14.0,2.0,1
2023-01-08,1.0,9,1,34.0,54.0,11.0,2.0,1
2023-01-15,0.0,8,1,35.0,51.0,11.0,2.0,1
2023-01-22,0.0,7,1,33.0,51.0,9.0,2.0,1
2023-01-29,0.0,7,1,38.0,51.0,10.0,2.0,1
2023-02-05,0.0,7,1,38.0,52.0,10.0,2.0,1
2023-02-12,0.0,7,1,35.0,52.0,8.0,2.0,1
2023-02-19,0.0,6,1,35.0,52.0,8.0,1.0,1
2023-02-26,0.0,6,1,35.0,50.0,8.0,1.0,1
2023-03-05,1.0,5,1,35.0,51.0,6.0,1.0,1
2023-03-12,0.0,5,<1,35.0,50.0,7.0,1.0,1
2023-03-19,1.0,5,<1,35.0,51.0,8.0,1.0,1
2023-03-26,0.0,5,<1,34.0,49.0,9.0,1.0,1
2023-04-02,0.0,4,<1,34.0,47.0,10.0,1.0,<1
2023-04-09,2.0,4,<1,34.0,46.0,8.0,1.0,<1
2023-04-16,1.0,5,<1,32.0,46.0,6.0,1.0,1
2023-04-23,1.0,5,<1,33.0,43.0,7.0,1.0,1
2023-04-30,2.0,4,<1,32.0,43.0,6.0,1.0,1
2023-05-07,1.0,5,<1,33.0,43.0,6.0,1.0,1
2023-05-14,1.0,3,<1,35.0,46.0,7.0,1.0,1
2023-05-21,2.0,4,<1,36.0,43.0,6.0,1.0,1
2023-05-28,0.0,3,<1,33.0,42.0,5.0,1.0,1
2023-06-04,0.0,3,<1,33.0,39.0,5.0,1.0,1
2023-06-11,0.0,3,<1,34.0,38.0,5.0,1.0,1
2023-06-18,2.0,3,<1,31.0,36.0,5.0,1.0,<1
2023-06-25,0.0,3,<1,31.0,34.0,5.0,1.0,1
2023-07-02,1.0,3,<1,33.0,32.0,5.0,1.0,<1
2023-07-09,0.0,3,<1,30.0,32.0,5.0,1.0,<1
2023-07-16,0.0,3,<1,28.0,30.0,4.0,1.0,<1
2023-07-23,2.0,4,<1,29.0,31.0,6.0,1.0,<1
2023-07-30,3.0,4,<1,29.0,31.0,5.0,1.0,1
2023-08-06,3.0,6,<1,29.0,31.0,5.0,1.0,1
2023-08-13,3.0,6,<1,31.0,33.0,7.0,1.0,1
2023-08-20,4.0,9,1,32.0,36.0,7.0,2.0,1
2023-08-27,5.0,10,1,32.0,39.0,8.0,1.0,1
2023-09-03,7.0,9,1,34.0,41.0,7.0,1.0,1
2023-09-10,25.0,9,1,32.0,43.0,8.0,1.0,3
2023-09-17,23.0,9,1,33.0,44.0,7.0,1.0,5
2023-09-24,14.0,9,<1,36.0,49.0,8.0,1.0,6
2023-10-01,10.0,7,<1,32.0,45.0,7.0,1.0,6
2023-10-08,7.0,6,<1,32.0,51.0,7.0,1.0,5
2023-10-15,5.0,6,<1,33.0,53.0,6.0,1.0,4
2023-10-22,3.0,5,<1,34.0,54.0,5.0,1.0,3
2023-10-29,3.0,5,<1,34.0,55.0,7.0,2.0,3
2023-11-05,3.0,5,<1,36.0,63.0,8.0,1.0,2
2023-11-12,3.0,5,<1,37.0,65.0,7.0,1.0,2
2023-11-19,2.0,5,<1,36.0,70.0,9.0,1.0,1
2023-11-26,1.0,5,<1,37.0,68.0,8.0,2.0,2
2023-12-03,2.0,5,<1,42.0,68.0,10.0,1.0,1
2023-12-10,1.0,6,<1,44.0,73.0,10.0,2.0,1
2023-12-17,2.0,8,<1,54.0,85.0,12.0,2.0,1
2023-12-24,2.0,8,1,54.0,85.0,15.0,2.0,1
2023-12-31,0.0,8,1,45.0,82.0,12.0,2.0,1
2024-01-07,1.0,6,<1,42.0,64.0,9.0,2.0,1
2024-01-14,0.0,5,<1,37.0,57.0,8.0,2.0,1
2024-01-21,0.0,5,<1,40.0,57.0,9.0,1.0,1
2024-01-28,0.0,4,<1,40.0,54.0,7.0,1.0,<1
2024-02-04,1.0,4,<1,40.0,57.0,7.0,1.0,<1
2024-02-11,0.0,4,<1,39.0,53.0,7.0,1.0,<1
2024-02-18,0.0,4,<1,41.0,55.0,9.0,1.0,<1
2024-02-25,1.0,4,<1,38.0,53.0,8.0,1.0,<1
2024-03-03,0.0,3,<1,38.0,50.0,6.0,1.0,<1
2024-03-10,0.0,3,<1,37.0,48.0,6.0,1.0,<1
2024-03-17,0.0,2,<1,34.0,47.0,6.0,1.0,<1
2024-03-24,0.0,2,<1,35.0,47.0,6.0,1.0,1
2024-03-31,1.0,2,<1,33.0,43.0,5.0,1.0,<1
2024-04-07,1.0,2,<1,34.0,44.0,5.0,1.0,<1
2024-04-14,0.0,2,<1,46.0,45.0,7.0,1.0,<1
2024-04-21,0.0,2,<1,34.0,46.0,5.0,1.0,<1
2024-04-28,1.0,2,<1,47.0,42.0,4.0,1.0,<1
2024-05-05,0.0,2,<1,42.0,42.0,5.0,1.0,<1
2024-05-12,0.0,2,<1,66.0,41.0,6.0,2.0,<1
2024-05-19,1.0,2,<1,67.0,42.0,5.0,1.0,<1
2024-05-26,1.0,2,<1,76.0,41.0,5.0,1.0,<1
2024-06-02,0.0,3,<1,65.0,42.0,6.0,1.0,<1
2024-06-09,0.0,3,<1,59.0,38.0,5.0,1.0,<1
2024-06-16,0.0,3,<1,76.0,37.0,5.0,1.0,<1
2024-06-23,0.0,4,<1,69.0,35.0,6.0,1.0,<1
2024-06-30,0.0,4,<1,71.0,33.0,5.0,1.0,<1
2024-07-07,1.0,4,<1,66.0,33.0,6.0,1.0,<1
2024-07-14,2.0,6,<1,61.0,32.0,5.0,1.0,<1
2024-07-21,1.0,5,<1,34.0,33.0,6.0,1.0,<1
2024-07-28,2.0,5,<1,32.0,35.0,6.0,1.0,1
2024-08-04,3.0,6,<1,32.0,33.0,5.0,1.0,1
2024-08-11,4.0,6,<1,45.0,34.0,5.0,2.0,1
2024-08-18,8.0,6,<1,54.0,36.0,5.0,1.0,1
2024-08-25,11.0,6,<1,87.0,38.0,5.0,1.0,1
2024-09-01,6.0,6,<1,78.0,37.0,6.0,1.0,2
2024-09-08,5.0,5,<1,68.0,41.0,5.0,1.0,2
2024-09-15,3.0,5,<1,64.0,44.0,5.0,1.0,2
2024-09-22,2.0,5,<1,71.0,43.0,5.0,1.0,2
2024-09-29,2.0,4,<1,34.0,43.0,5.0,1.0,2
2024-10-06,1.0,3,<1,32.0,46.0,4.0,1.0,2
2024-10-13,1.0,3,<1,30.0,51.0,5.0,1.0,1
2024-10-20,1.0,3,<1,34.0,53.0,4.0,1.0,1
2024-10-27,2.0,3,<1,41.0,52.0,4.0,1.0,1
2024-11-03,1.0,2,<1,31.0,52.0,4.0,1.0,1
2024-11-10,1.0,2,<1,33.0,56.0,4.0,1.0,1
2024-11-17,0.0,2,<1,35.0,61.0,5.0,1.0,1
2024-11-24,1.0,2,<1,36.0,65.0,5.0,2.0,1
2024-12-01,1.0,2,<1,36.0,63.0,6.0,2.0,1
2024-12-08,2.0,2,<1,41.0,67.0,5.0,2.0,1
2024-12-15,0.0,3,<1,45.0,75.0,7.0,2.0,1
2024-12-22,0.0,3,<1,52.0,96.0,7.0,2.0,<1
2024-12-29,0.0,3,<1,49.0,86.0,7.0,2.0,1
2025-01-05,0.0,3,<1,44.0,70.0,7.0,2.0,1
2025-01-12,0.0,2,<1,46.0,65.0,6.0,2.0,1
2025-01-19,0.0,2,<1,50.0,69.0,7.0,2.0,<1
2025-01-26,1.0,3,<1,58.0,73.0,7.0,1.0,<1
2025-02-02,1.0,2,<1,57.0,74.0,8.0,1.0,<1
2025-02-09,1.0,2,<1,50.0,69.0,7.0,2.0,<1
2025-02-16,1.0,2,<1,46.0,63.0,6.0,2.0,<1
2025-02-23,0.0,,<1,47.0,62.0,7.0,2.0,<1
